trip_frequency,average_booking_value,destination_diversity,session_duration,search_behavior
2.0,477.9164745115405,3.0,6.139695082961295,2
4.0,745.3861064131696,1.0,40.8709605022116,0
2.0,307.515033512337,8.0,4.412671373038492,2
10.0,242.28311292556367,3.0,12.822574048307697,1
2.0,663.808316258717,7.0,47.87304593346529,0
6.0,635.5045053434761,1.0,20.79103166911927,2
7.0,308.42043493098095,6.0,52.24961038375283,2
7.0,589.9714958067901,8.0,7.536623909437583,2
5.0,787.2910865459137,5.0,36.582153488276695,2
3.0,430.3408574416252,4.993817603831228,22.42862772177277,1
3.0,526.0976783387005,1.0,17.24434756036725,1
4.0,310.9983673693858,3.0,2.994165004730808,0
6.0,402.34416459012766,2.0,16.57904240127122,0
6.0,346.5793840819882,3.0,86.43665495123494,0
4.994912805696007,496.3089710648442,8.0,6.301333776702019,2
6.0,460.8554346491171,6.0,8.612327820102093,1
3.0,422.7470736630557,3.0,41.3389482644394,2
2.0,624.0966487588496,5.0,9.135522132507116,0
0.0,557.4858214430576,8.0,29.889531830299763,0
4.0,318.955629086739,7.0,86.43665495123494,2
7.0,815.8266312238616,5.0,31.468421538200644,0
7.0,545.203725635712,2.0,27.768541552417485,2
3.0,639.100010081641,6.0,7.105706753686159,0
9.0,610.0084391104367,7.0,20.967902695417788,0
7.0,548.8319830105618,6.0,72.00707758438116,2
7.0,504.70310461242667,3.0,0.1193534758686592,2
4.994912805696007,600.7802483724157,5.0,59.93804738711628,2
7.0,344.112065046502,8.0,21.200771440194707,1
4.0,617.6825518093897,3.0,86.43665495123494,1
4.0,593.0975782811937,4.993817603831228,9.775348052677309,0
10.0,621.4182497741947,6.0,0.9748306387115276,1
7.0,590.6021966280518,6.0,56.38858719870691,2
4.0,495.9210886965369,7.0,29.889531830299763,1
7.0,440.72132884938327,1.0,29.889531830299763,0
3.0,509.9383437002289,4.0,10.5456226944495,2
9.0,609.6117780312895,9.0,35.930635000756645,2
4.0,344.1400078323067,4.0,80.27801081201746,0
3.0,272.2042949359238,4.0,6.249080456603925,1
4.0,504.70310461242667,1.0,29.889531830299763,2
3.0,392.8941209485003,6.0,25.57759186770663,2
5.0,487.778218659802,4.0,12.71320787461875,2
7.0,460.0968312564392,4.993817603831228,4.597481542581025,2
3.0,702.8184494321628,2.0,17.71673622237564,1
3.0,394.903010952482,5.0,17.666888152698363,0
6.0,490.2834376165951,6.0,25.18760838137373,1
5.0,581.9460486670548,8.0,42.10266165007256,2
4.0,547.701885868634,8.0,42.570813454148194,0
6.0,564.0229472393476,4.0,39.075821560972834,0
4.0,706.0887834515088,4.0,23.128872408641605,1
3.0,324.61393772295634,6.0,80.64719036420853,2
1.0,481.79343609732575,5.0,19.706327567923847,1
3.0,628.3407961790409,4.0,5.598029063016798,0
7.0,532.1854720920327,3.0,29.889531830299763,2
5.0,415.574949793316,1.0,0.7773982654319483,1
5.0,268.1869759076631,3.0,43.50235970842888,1
3.0,537.659375757973,2.0,31.932518034203174,2
3.0,559.473330014072,2.0,9.596426116958153,2
4.994912805696007,441.3804975487039,4.0,45.63129648847581,1
7.0,658.4346117623095,9.0,86.43665495123494,0
6.0,383.78819216255806,3.0,41.14489457213331,0
4.0,487.21843611622944,6.0,54.88356048858574,2
4.0,300.3853241231901,9.0,18.98169204351626,2
3.0,533.535220105109,4.993817603831228,20.010044832966464,2
3.0,356.06618246512187,5.0,12.444318255763609,1
